Date,Natural1,Natural2,Natural3,Stock
2016-11-01,0.0,0.0,0.0,
2016-11-02,0.0,0.0,0.0,0.14
2016-11-03,0.0,0.0,0.0,-0.67
2016-11-04,0.0,0.0,0.0,-0.68
2016-11-07,0.0,0.0,0.0,1.78
2016-11-08,0.0,0.0,0.0,1.29
2016-11-09,0.0,0.0,0.0,0.87
2016-11-10,0.0,0.0,0.0,-0.47
2016-11-11,0.0,0.0,0.0,-0.29
2016-11-14,0.0,0.0,0.0,3.64
2016-11-15,0.0,0.0,0.0,0.46
2016-11-16,0.0,0.0,0.0,0.89
2016-11-17,0.0,0.0,0.0,0.24
2016-11-18,0.0,0.0,0.0,0.55
2016-11-21,0.0,0.0,0.0,-0.5
2016-11-22,0.0,0.0,0.0,0.19
2016-11-23,0.0,0.0,0.0,0.45
2016-11-25,0.0,0.0,0.0,0.52
2016-11-28,0.0,0.0,0.0,1.16
2016-11-29,0.0,0.0,0.0,-1.14
2016-11-30,0.0,0.0,0.0,-1.41
2016-12-01,0.0,0.0,0.0,-0.8
2016-12-02,0.0,0.0,0.0,-0.23
2016-12-05,0.0,0.0,0.0,1.05
2016-12-06,0.0,0.0,0.0,-0.04
2016-12-07,0.0,0.0,0.0,0.67
2016-12-08,0.0,0.0,0.0,0.53
2016-12-09,0.0,0.0,0.0,0.81
2016-12-12,0.0,0.0,0.0,0.48
2016-12-13,0.0,0.0,0.0,0.94
2016-12-14,0.0,0.0,0.0,0.16
2016-12-15,0.0,0.0,0.0,-0.48
2016-12-16,0.0,0.0,0.0,0.88
2016-12-19,0.0,0.0,0.0,-0.25
2016-12-20,0.0,0.0,0.0,0.34
2016-12-21,28.57,28.57,0.0,-0.15
2016-12-22,0.0,0.0,0.0,0.54
2016-12-23,0.0,0.0,0.0,-0.58
2016-12-27,0.0,0.0,0.0,-0.07
2016-12-28,0.0,0.0,0.0,-0.39
2016-12-29,0.0,0.0,0.0,0.11
2016-12-30,0.0,0.0,0.0,-1.07
2017-01-03,0.0,0.0,0.0,-2.1
2017-01-04,0.0,0.0,0.0,-0.14
2017-01-05,0.0,0.0,0.0,0.22
2017-01-06,0.0,0.0,0.0,1.06
2017-01-09,0.0,0.0,0.0,-0.33
