Date,Open,High,Low,Close,Volume,Adj Close
2016-12-23,19908.609375,19934.150391,19899.060547,19933.810547,158260000,19933.810547
2016-12-22,19922.679688,19933.830078,19882.189453,19918.880859,258290000,19918.880859
2016-12-21,19968.970703,19986.560547,19941.960938,19941.960938,256640000,19941.960938
2016-12-20,19920.589844,19987.630859,19920.419922,19974.619141,284080000,19974.619141
2016-12-19,19836.660156,19917.779297,19832.949219,19883.060547,302310000,19883.060547
2016-12-16,19909.009766,19923.169922,19821.00,19843.410156,573470000,19843.410156
2016-12-15,19811.50,19951.289062,19811.50,19852.240234,357350000,19852.240234
2016-12-14,19876.130859,19966.429688,19748.669922,19792.529297,408430000,19792.529297
2016-12-13,19852.210938,19953.75,19846.449219,19911.210938,388420000,19911.210938
2016-12-12,19770.199219,19824.589844,19747.740234,19796.429688,333660000,19796.429688
2016-12-09,19631.349609,19757.740234,19623.189453,19756.849609,334470000,19756.849609
2016-12-08,19559.939453,19664.970703,19527.830078,19614.810547,324570000,19614.810547
2016-12-07,19241.990234,19558.419922,19229.830078,19549.619141,385200000,19549.619141
2016-12-06,19219.910156,19255.890625,19184.740234,19251.779297,284960000,19251.779297
2016-12-05,19244.349609,19274.849609,19186.730469,19216.240234,317800000,19216.240234
2016-12-02,19161.25,19196.140625,19141.179688,19170.419922,84920000,19170.419922
2016-12-01,19149.199219,19214.300781,19138.789062,19191.929688,108800000,19191.929688
2016-11-30,19135.640625,19225.289062,19123.380859,19123.580078,164570000,19123.580078
2016-11-29,19064.070312,19144.400391,19062.220703,19121.599609,81510000,19121.599609
2016-11-28,19122.140625,19138.720703,19072.25,19097.900391,88460000,19097.900391
2016-11-25,19093.720703,19152.140625,19093.720703,19152.140625,45890000,19152.140625
2016-11-23,19015.519531,19083.759766,19000.380859,19083.179688,77880000,19083.179688
2016-11-22,18970.390625,19043.900391,18962.820312,19023.869141,85310000,19023.869141
2016-11-21,18898.679688,18960.759766,18883.099609,18956.689453,80520000,18956.689453
2016-11-18,18905.330078,18915.740234,18853.830078,18867.929688,109880000,18867.929688
2016-11-17,18866.220703,18904.029297,18845.269531,18903.820312,89940000,18903.820312
2016-11-16,18909.849609,18909.849609,18825.890625,18868.140625,87320000,18868.140625
2016-11-15,18858.210938,18925.259766,18806.060547,18923.060547,100660000,18923.060547
2016-11-14,18876.769531,18934.050781,18815.75,18868.689453,112250000,18868.689453
2016-11-11,18781.650391,18855.779297,18736.960938,18847.660156,107300000,18847.660156
2016-11-10,18603.140625,18873.660156,18603.140625,18807.880859,164390000,18807.880859
2016-11-09,18317.259766,18650.060547,18252.550781,18589.689453,173110000,18589.689453
2016-11-08,18251.380859,18400.50,18200.75,18332.740234,79820000,18332.740234
2016-11-07,17994.640625,18263.300781,17994.640625,18259.599609,93450000,18259.599609
2016-11-04,17928.349609,17986.759766,17883.560547,17888.279297,97760000,17888.279297
2016-11-03,17978.75,18006.960938,17904.070312,17930.669922,77860000,17930.669922
2016-11-02,18017.720703,18044.150391,17931.890625,17959.640625,88610000,17959.640625
2016-11-01,18158.240234,18177.009766,17940.839844,18037.099609,101280000,18037.099609
2016-10-31,18176.599609,18193.679688,18130.580078,18142.419922,110080000,18142.419922
2016-10-28,18193.789062,18257.060547,18094.970703,18161.189453,107850000,18161.189453
2016-10-27,18234.810547,18253.199219,18149.199219,18169.679688,83530000,18169.679688
2016-10-26,18103.800781,18236.039062,18062.300781,18199.330078,86340000,18199.330078
2016-10-25,18206.519531,18241.689453,18151.699219,18169.269531,83190000,18169.269531
2016-10-24,18197.140625,18275.039062,18191.179688,18223.029297,88540000,18223.029297
2016-10-21,18152.630859,18168.759766,18049.769531,18145.710938,117810000,18145.710938
2016-10-20,18161.869141,18249.050781,18129.070312,18162.349609,88830000,18162.349609
2016-10-19,18178.210938,18252.199219,18169.25,18202.619141,88040000,18202.619141
2016-10-18,18145.060547,18225.800781,18129.449219,18161.939453,74600000,18161.939453
2016-10-17,18135.849609,18162.279297,18063.019531,18086.400391,75960000,18086.400391
2016-10-14,18177.349609,18261.109375,18138.380859,18138.380859,87050000,18138.380859
2016-10-13,18088.320312,18137.699219,17959.949219,18098.939453,83160000,18098.939453
2016-10-12,18132.630859,18193.960938,18082.089844,18144.199219,72230000,18144.199219
2016-10-11,18308.429688,18312.330078,18061.960938,18128.660156,88610000,18128.660156
2016-10-10,18282.949219,18399.960938,18282.949219,18329.039062,72110000,18329.039062
2016-10-07,18295.349609,18319.730469,18149.349609,18240.490234,82680000,18240.490234
2016-10-06,18280.419922,18288.119141,18162.970703,18268.50,78660000,18268.50
2016-10-05,18205.50,18315.820312,18205.50,18281.029297,76190000,18281.029297
2016-10-04,18267.679688,18313.769531,18116.259766,18168.449219,79710000,18168.449219
2016-10-03,18279.599609,18279.800781,18203.75,18253.849609,68520000,18253.849609
2016-09-30,18181.800781,18369.619141,18181.800781,18308.150391,135470000,18308.150391
2016-09-29,18322.880859,18366.230469,18091.640625,18143.449219,95880000,18143.449219
2016-09-28,18240.220703,18349.859375,18179.339844,18339.240234,97650000,18339.240234
2016-09-27,18099.210938,18238.099609,18052.160156,18228.300781,84130000,18228.300781
2016-09-26,18217.759766,18217.759766,18083.320312,18094.830078,95510000,18094.830078
